[E 2026-01-20 22:24:05,334 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,376 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,437 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,479 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,519 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,602 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,463 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,525 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,568 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,610 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,673 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,718 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,760 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,825 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,869 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,914 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:46,975 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,017 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,120 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,181 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,226 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,310 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,370 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,418 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,477 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,537 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,580 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,640 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,701 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:47,748 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,112 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,151 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,193 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,234 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,279 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,337 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,381 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,438 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,503 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,586 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,646 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,726 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,769 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,810 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,851 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,893 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:25:48,939 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
