stock_code,bias,prev_high,strategy_tag,data_date
4743,0.038400841662282956,68.7,ma_conv,2026-01-30
8277,-0.014222658165767491,10.15,bias,2026-01-30
6584,-0.10518172825728563,308.5,bias,2026-01-30
3066,0.06137955597768027,15.15,ma_conv,2026-01-30
4912,0.006696260627492292,91.5,bias|ma_conv,2026-01-30
2718,-0.09217230199166283,49.65,bias|ma_conv,2026-01-30
1436,-0.03036083293594018,61.0,bias|ma_conv,2026-01-30
5299,0.029529678586974254,76.2,ma_conv,2026-01-30
1813,0.021082042164084377,13.45,bias|ma_conv,2026-01-30
1806,-0.01142646516771104,9.0,bias|ma_conv,2026-01-30
6234,0.05597751530765871,27.0,ma_conv,2026-01-30
5348,-0.00956937799043069,17.55,bias|ma_conv,2026-01-30
6491,-0.02282874231320016,290.0,bias|ma_conv,2026-01-30
2109,-0.012700165654334607,14.95,bias|ma_conv,2026-01-30
1316,-0.06768766418869815,14.15,bias|ma_conv,2026-01-30
5465,0.017989598431238804,30.0,bias|ma_conv,2026-01-30
1707,-0.0406976744186047,122.5,bias|ma_conv,2026-01-30
009814,0.0,10.16,ma_conv,2026-01-30
2455,0.11184645929847788,173.5,ma_conv,2026-01-30
3027,0.021073062525994623,25.7,bias|ma_conv,2026-01-30
8032,-0.01823220215971313,38.9,bias|ma_conv,2026-01-30
2330,0.14442295293359123,1800.0,ma_conv,2026-01-30
9907,-0.03147263053476439,18.2,bias|ma_conv,2026-01-30
6854,-0.07125495714468465,123.5,bias|ma_conv,2026-01-30
6180,-0.04068386892512267,51.6,bias|ma_conv,2026-01-30
2457,-0.032284975390005764,31.0,bias,2026-01-30
00846B,0.0015070557610631517,36.57,bias|ma_conv,2026-01-30
4977,0.03924243640157291,138.0,ma_conv,2026-01-30
8044,-0.04938479689870229,28.75,bias|ma_conv,2026-01-30
4741,0.011847335314321247,22.55,bias|ma_conv,2026-01-30
1438,-0.021803766105054537,32.9,bias|ma_conv,2026-01-30
020020,0.1115848718714023,17.39,ma_conv,2026-01-30
9928,0.0013187212950752218,18.55,bias|ma_conv,2026-01-30
1817,-0.0009514747859180455,38.7,bias|ma_conv,2026-01-30
00908,0.02603683023600771,14.2,ma_conv,2026-01-30
2062,0.04859436163061955,22.55,ma_conv,2026-01-30
0055,0.025698502922103864,32.44,ma_conv,2026-01-30
6757,0.002471576866040393,69.2,bias|ma_conv,2026-01-30
2542,-0.030071267164957477,37.75,bias|ma_conv,2026-01-30
3518,0.002739073478623365,21.45,bias|ma_conv,2026-01-30
00921,0.03079728976290137,18.4,ma_conv,2026-01-30
6496,-0.05153931909784745,28.95,bias|ma_conv,2026-01-30
00990A,0.0,11.34,ma_conv,2026-01-30
4562,0.031183557760453545,40.85,ma_conv,2026-01-30
2357,-0.1269655010560901,505.0,bias|ma_conv,2026-01-30
6690,-0.036595577008323874,164.5,bias|ma_conv,2026-01-30
8089,-0.029523699688617174,28.55,bias|ma_conv,2026-01-30
